nombre,nivel,ataque,defensa,estamina,iv_ataque,iv_defensa,iv_estamina,PC
Swinub,22.5,90,69,137,14,6,6,432
Sealeo,8.5,137,132,207,15,7,6,392
Parasect,5.0,165,146,155,7,5,2,223
Hitmonchan,38.0,193,197,137,10,11,9,2146
Altaria,1.5,141,201,181,11,15,5,55
Gloom,34.5,153,136,155,0,14,0,1342
Castform,27.5,139,139,172,9,5,6,1162
Wingull,41.0,106,61,120,0,1,6,592
Probopass,23.0,135,275,155,0,3,8,1179
Deoxys,20.0,345,115,137,6,14,9,1719
Blastoise,20.0,171,207,188,10,7,12,1336
Shaymin,20.0,261,166,225,10,0,3,1881
Corsola,38.0,118,156,146,6,9,13,1218
Teddiursa,1.0,142,93,155,13,3,6,17
Riolu,39.5,127,78,120,14,8,0,888
Wooper,17.5,75,66,146,2,9,3,254
Kecleon,21.5,161,189,155,4,10,10,1147
Armaldo,6.0,222,174,181,0,0,15,422
Skarmory,30.5,148,226,163,8,4,15,1703
Ivysaur,13.5,151,143,155,9,6,3,591
Lotad,11.5,71,77,120,10,8,4,170
Barboach,43.0,93,82,137,9,4,5,730
Miltank,39.0,157,193,216,5,5,1,2067
Alolan,1.5,201,145,111,5,6,5,49
Golduck,10.5,191,162,190,9,15,13,710
Chimchar,6.5,113,86,127,8,1,6,146
Tentacool,7.5,97,149,120,4,0,10,184
Magby,3.0,151,99,128,5,5,3,84
Lanturn,28.0,146,137,268,3,4,2,1452
Slugma,24.0,118,71,120,4,0,8,498
Stunky,36.5,121,90,160,1,6,8,919
Cascoon,32.0,60,77,137,11,7,11,437
Armaldo,2.5,222,174,181,3,10,13,157
Combusken,38.0,163,115,155,7,2,0,1389
Beldum,23.0,96,132,120,5,4,2,533
Staraptor,8.5,234,140,198,6,2,3,609
Staraptor,12.0,234,140,198,14,1,13,916
Wigglytuff,4.0,156,90,295,7,11,12,187
Goldeen,38.0,123,110,128,11,4,8,1012
Tropius,32.0,136,163,223,13,13,4,1647
Ditto,19.0,91,91,134,6,6,4,380
Lotad,12.0,71,77,120,7,8,14,178
Venomoth,2.0,179,143,172,9,12,12,87
Piplup,35.0,112,102,142,10,0,5,866
Gengar,24.0,261,149,155,3,14,9,1848
Psyduck,13.5,122,95,137,14,13,4,404
Rhyhorn,35.0,140,127,190,2,12,9,1369
Pachirisu,37.0,94,172,155,14,13,10,1128
Yanmega,38.5,231,156,200,11,11,14,2796
Carvanha,31.0,171,39,128,2,3,8,711
Nosepass,17.0,82,215,102,14,1,8,448
Alolan,8.5,164,164,146,7,13,6,421
Cranidos,29.0,218,71,167,3,4,9,1314
Regirock,10.5,179,309,190,13,7,6,895
Quilava,33.0,158,126,151,7,13,13,1400
Sudowoodo,38.0,167,176,172,2,15,1,1863
Abomasnow,14.0,178,158,207,13,1,12,890
Magneton,24.5,223,169,137,14,4,15,1680
Electabuzz,30.5,198,158,163,7,0,13,1845
Kangaskhan,27.0,181,165,233,0,2,9,1753
Houndoom,31.0,224,144,181,5,6,6,2087
Swalot,26.5,140,159,225,9,5,1,1356
Cherubi,33.0,108,92,128,11,3,8,760
Kecleon,3.0,161,189,155,8,12,7,141
Ekans,15.0,110,97,111,1,7,10,333
Clefairy,15.5,107,108,172,14,3,3,466
Tropius,17.5,136,163,223,10,14,2,909
Cresselia,27.5,152,258,260,13,8,3,2141
Crawdaunt,39.5,224,142,160,14,6,0,2271
Cloyster,10.5,186,256,137,8,14,8,719
Dunsparce,36.0,131,128,225,7,11,12,1475
Sandshrew,24.0,126,120,137,7,10,3,768
Cranidos,22.0,218,71,167,15,5,2,1036
Lopunny,34.0,156,194,163,13,3,7,1766
Kricketune,25.0,160,100,184,5,11,11,1083
Shinx,24.5,117,64,128,7,8,5,530
Kangaskhan,16.0,181,165,233,5,5,13,1086
Swinub,7.0,90,69,137,6,1,3,115
Numel,10.0,119,79,155,13,12,4,283
Delcatty,37.5,132,127,172,13,7,10,1363
Charmeleon,25.5,158,126,151,14,2,3,1098
Magmortar,18.5,247,172,181,3,5,13,1529
Bellossom,23.5,169,186,181,1,12,12,1393
Nuzleaf,30.5,134,78,172,15,5,10,988
Ampharos,35.5,211,169,207,1,13,5,2433
Espeon,3.5,261,175,163,0,1,6,251
Smoochum,4.0,153,91,128,11,2,12,122
Swinub,35.5,90,69,137,6,3,15,586
Trapinch,9.0,162,78,128,11,4,11,294
Pupitar,29.5,155,133,172,3,5,10,1318
Chimecho,4.5,175,170,181,1,9,5,240
Slaking,16.0,290,166,284,14,2,2,1902
Steelix,8.5,148,272,181,15,0,12,561
Bidoof,33.0,80,73,153,0,2,0,481
Bastiodon,16.5,94,286,155,6,4,11,646
Torterra,19.5,202,188,216,1,15,7,1502
Alolan,44.0,103,70,102,13,6,5,686
Spheal,15.0,95,90,172,14,15,6,398
Mantyke,10.0,105,179,128,15,3,12,341
Xatu,17.0,192,146,163,0,12,5,948
Carvanha,25.5,171,39,128,15,14,14,734
Drapion,14.0,180,202,172,3,11,8,895
Venonat,34.0,100,100,155,11,4,10,830
Gorebyss,22.0,211,179,146,10,2,4,1429
Combusken,8.5,163,115,155,6,15,3,363
Mewtwo,29.0,300,182,214,12,10,1,3280
Machamp,20.5,234,159,207,5,11,12,1686
Drapion,17.0,180,202,172,1,6,3,1047
Houndoom,20.0,224,144,181,11,12,4,1424
Spinda,15.5,116,116,155,11,4,13,498
Swampert,28.0,208,175,225,0,6,1,2102
Spheal,39.5,95,90,172,10,9,14,883
Raticate,22.5,161,139,146,5,6,5,986
Armaldo,2.0,222,174,181,10,6,0,115
Plusle,27.0,167,129,155,7,15,2,1260
Sandslash,15.5,182,175,181,8,6,14,987
Spearow,13.0,112,60,120,0,2,6,229
Linoone,36.0,142,128,186,6,0,14,1394
Furret,31.0,148,125,198,4,5,2,1334
Alolan,28.0,135,90,190,12,9,4,1017
Nincada,7.0,80,126,104,7,3,15,131
Abra,18.0,195,82,93,13,3,0,594
Pidgeot,5.0,166,154,195,10,14,11,275
Marshtomp,4.0,156,133,172,2,9,14,167
Pineco,36.0,108,122,137,4,8,15,927
Exploud,7.5,179,137,232,12,6,14,470
Nidorino,23.5,137,111,156,4,4,7,809
Alolan,9.0,125,129,137,4,12,5,291
Yanma,26.5,154,94,163,14,6,6,1032
Cherrim,19.5,170,153,172,15,13,0,1087
Hitmonchan,35.5,193,197,137,9,5,13,2055
Crobat,12.5,194,178,198,5,15,9,887
Clefable,1.0,178,162,216,1,15,10,31
Torterra,5.0,202,188,216,12,14,6,381
Voltorb,9.0,109,111,120,15,0,5,233
Venonat,2.0,100,100,155,10,11,7,40
Mismagius,24.5,211,187,155,14,10,9,1768
Huntail,3.5,197,179,146,3,5,6,187
Nosepass,25.0,82,215,102,10,3,8,635
Spoink,19.5,125,122,155,10,2,10,671
Dratini,22.5,119,91,121,1,3,2,518
Rayquaza,39.0,284,170,213,11,10,8,3622
Flareon,38.5,246,179,163,5,0,3,2644
Charizard,5.5,223,173,186,4,12,4,398
Snorlax,33.5,190,169,330,3,8,5,2662
Porygon2,2.0,198,180,198,11,1,4,110
Kabuto,7.5,148,140,102,14,13,12,281
Linoone,14.5,142,128,186,10,8,10,642
Hitmonlee,4.0,224,181,137,3,6,11,246
Eevee,10.5,104,114,146,11,14,9,303
Crobat,4.5,194,178,198,1,1,3,276
Metagross,15.5,257,228,190,0,12,12,1565
Roselia,39.0,186,131,137,5,3,4,1616
Swalot,3.0,140,159,225,5,7,13,134
Ambipom,3.0,205,143,181,12,5,1,165
Ampharos,30.5,211,169,207,9,1,8,2270
Venomoth,18.0,179,143,172,9,13,0,989
Dragonite,22.5,263,198,209,15,6,9,2353
Mew,11.5,210,210,225,11,8,4,1013
Bagon,32.5,134,93,128,6,2,15,910
Chatot,6.0,183,91,183,0,3,15,257
Nincada,25.0,80,126,104,15,8,10,523
Bibarel,40.0,162,119,188,3,10,8,1638
Gengar,31.0,261,149,155,10,14,12,2433
Purugly,3.0,172,133,174,4,4,9,129
Ludicolo,1.5,173,176,190,0,3,10,59
Bibarel,11.0,162,119,188,3,11,10,519
Electrode,17.0,173,173,155,9,8,14,965
Politoed,30.0,174,179,207,7,4,4,1904
Feebas,10.0,29,85,85,13,2,4,65
Slaking,32.0,290,166,284,4,9,9,3682
Kricketune,19.0,160,100,184,8,1,0,776
Spoink,22.5,125,122,155,12,5,9,793
Cloyster,42.0,186,256,137,8,12,4,2415
Hippopotas,26.0,124,118,169,6,11,4,901
Pidgey,33.5,85,73,120,11,5,14,556
Alolan,2.5,144,186,155,0,5,4,93
Porygon,34.5,153,136,163,0,7,11,1388
Seedot,44.0,71,77,120,4,1,8,492
Rayquaza,26.5,284,170,213,6,0,8,2658
Mantyke,22.5,105,179,128,2,6,15,698
Nidorino,4.5,137,111,156,1,9,4,143
Granbull,28.5,212,131,207,4,10,0,1876
Machamp,7.5,234,159,207,8,7,5,596
Parasect,16.0,165,146,155,7,0,11,764
Beautifly,22.0,189,98,155,0,1,7,939
Weedle,20.5,63,50,120,13,7,10,239
Hitmontop,11.5,173,207,137,1,13,10,642
Phione,30.5,162,162,190,9,6,7,1679
Electrike,18.0,123,78,120,8,6,14,446
Slowpoke,22.0,109,98,207,3,5,5,649
Spearow,23.5,112,60,120,10,0,11,453
Magikarp,21.5,29,85,85,8,15,12,139
Gorebyss,2.5,211,179,146,14,5,1,137
Bulbasaur,30.0,118,111,128,12,15,12,924
Kyogre,1.0,270,228,205,9,6,11,55
Umbreon,26.5,126,240,216,7,4,4,1457
Melmetal,33.0,226,190,264,14,5,2,3072
Sneasel,36.0,189,146,146,2,7,1,1686
Drapion,25.0,180,202,172,12,14,8,1689
Gengar,14.0,261,149,155,6,15,14,1110
Nidoran?,32.5,105,76,130,5,15,9,689
Quilava,7.0,158,126,151,0,7,0,273
Cyndaquil,30.5,116,93,118,15,4,2,762
Heracross,1.5,234,179,190,9,4,3,83
Empoleon,30.5,210,186,197,13,7,2,2359
Kecleon,4.0,161,189,155,14,4,8,202
Dunsparce,2.5,131,128,225,13,4,11,94
Bonsly,7.5,124,133,137,5,7,8,241
Kingler,23.5,240,181,146,5,6,6,1732
Banette,16.5,218,126,162,2,8,6,971
Espeon,14.5,261,175,163,6,8,3,1204
Whismur,15.0,92,42,162,14,12,10,273
Armaldo,24.0,222,174,181,12,14,3,1863
Chikorita,34.0,92,122,128,15,1,4,778
Vespiquen,29.0,149,190,172,2,11,14,1511
Zubat,5.0,83,73,120,1,3,4,68
Gastly,15.0,186,67,102,13,3,15,482
Lickitung,26.5,108,137,207,7,9,7,961
Regice,7.5,179,309,190,10,10,9,625
Primeape,17.5,207,138,163,7,6,8,1048
